2022-01-29,X
2022-01-30,X
2022-01-31,X
2022-02-02,XX
2022-02-04,X
2022-02-06,XXXXX
2022-02-08,XXX
2022-02-14,XX
2022-02-15,XXX
2022-02-20,XX
2022-02-21,XX
2022-02-23,XX
2022-02-25,XXX
2022-02-28,XXX
2022-03-02,XXXX
2022-03-05,XXX
2022-03-09,XX
2022-03-13,XXXXX
2022-03-16,XXX
2022-03-20,XXXXX
2022-03-23,XXX
2022-03-25,XX
2022-03-27,XXX
2022-03-28,XXX
2022-03-30,X
2022-04-04,XX
2022-04-06,XX
2022-04-11,XXXXX
2022-04-15,XXX
2022-04-18,XXXX
2022-04-19,XXX
2022-05-20,XXXXXXXXX
2022-05-21,XXXXXXXXXXXXXX
2022-05-22,XXXXXXXX
2022-05-28,XXXXXX
2022-05-30,XXXXX
2022-06-04,XX
2022-06-08,X
2022-06-11,XX
2022-06-12,XXXX
2022-06-14,X
2022-06-15,XX
2022-06-16,X
2022-06-19,X
2022-06-20,XX
2022-06-21,XX
2022-06-23,X
2022-06-24,X
2022-06-26,X
2022-06-28,XX
2022-06-29,XXX
2022-06-30,X
